timestamp,algorithm,assignment_time,total_cost,cache_hits,cache_misses,assignments_made,services_count,providers_count,average_cost_per_service
2025-06-02T13:42:22.014194,ILP,0.4507482051849365,4000,0,5,5,5,2,800.0
2025-06-02T13:42:22.341937,ILP,0.007755279541015625,4000,0,5,5,5,2,800.0
2025-06-02T13:42:22.678034,ILP,0.008739709854125977,4000,0,5,5,5,2,800.0
2025-06-02T13:42:23.005890,ILP,0.008636713027954102,4000,0,5,5,5,2,800.0
2025-06-02T13:42:23.334762,ILP,0.007890462875366211,4000,0,5,5,5,2,800.0
2025-06-02T13:42:23.668289,ILP,0.008709430694580078,4000,0,5,5,5,2,800.0
2025-06-02T13:42:24.002647,ILP,0.008140802383422852,4000,0,5,5,5,2,800.0
2025-06-02T13:42:24.332167,ILP,0.008701324462890625,4000,0,5,5,5,2,800.0
2025-06-02T13:42:24.663591,ILP,0.008971214294433594,4000,0,5,5,5,2,800.0
2025-06-02T13:42:24.999596,ILP,0.00977182388305664,4000,0,5,5,5,2,800.0
2025-06-02T13:42:25.334790,ILP,0.007940530776977539,4000,0,5,5,5,2,800.0
2025-06-02T13:42:25.664233,ILP,0.007711887359619141,4000,0,5,5,5,2,800.0
2025-06-02T13:42:25.995603,ILP,0.008671045303344727,4000,0,5,5,5,2,800.0
2025-06-02T13:42:26.330292,ILP,0.010245084762573242,4000,0,5,5,5,2,800.0
2025-06-02T13:42:26.652005,ILP,0.008031368255615234,4000,0,5,5,5,2,800.0
2025-06-02T13:42:26.966537,MRU,0.000148773193359375,4000,0,5,5,5,1,800.0
2025-06-02T13:42:27.287403,MRU,0.0001442432403564453,4000,0,5,5,5,1,800.0
2025-06-02T13:42:27.599327,MRU,0.00025916099548339844,4000,0,5,5,5,1,800.0
2025-06-02T13:42:27.923693,MRU,0.00016951560974121094,4000,0,5,5,5,1,800.0
2025-06-02T13:42:28.243293,MRU,0.0003132820129394531,4000,0,5,5,5,1,800.0
2025-06-02T13:42:28.567768,MRU,0.00014257431030273438,4000,0,5,5,5,1,800.0
2025-06-02T13:42:28.895095,MRU,0.00016832351684570312,4000,0,5,5,5,1,800.0
2025-06-02T13:42:29.222013,MRU,0.00027751922607421875,4000,0,5,5,5,1,800.0
2025-06-02T13:42:29.547725,MRU,0.0002872943878173828,4000,0,5,5,5,1,800.0
2025-06-02T13:42:29.874842,MRU,0.0004410743713378906,4000,0,5,5,5,1,800.0
2025-06-02T13:42:30.206571,MRU,0.0003962516784667969,4000,0,5,5,5,1,800.0
2025-06-02T13:42:30.529905,MRU,0.0003886222839355469,4000,0,5,5,5,1,800.0
2025-06-02T13:42:30.853279,MRU,0.00032782554626464844,4000,0,5,5,5,1,800.0
2025-06-02T13:42:31.176331,MRU,0.0003371238708496094,4000,0,5,5,5,1,800.0
2025-06-02T13:42:31.499993,MRU,0.00035190582275390625,4000,0,5,5,5,1,800.0
2025-06-02T13:42:31.970342,BELADY,0.15010285377502441,4000,0,5,5,5,1,800.0
2025-06-02T13:42:32.389342,BELADY,0.12438273429870605,4000,0,5,5,5,2,800.0
2025-06-02T13:42:33.034788,BELADY,0.13036847114562988,4000,0,5,5,5,2,800.0
2025-06-02T13:42:33.464997,BELADY,0.13178730010986328,4000,0,5,5,5,2,800.0
2025-06-02T13:42:33.896832,BELADY,0.1293346881866455,4000,0,5,5,5,2,800.0
2025-06-02T13:42:34.366605,BELADY,0.14707541465759277,5000,0,5,5,5,2,1000.0
2025-06-02T13:42:34.829925,BELADY,0.14421391487121582,4000,0,5,5,5,2,800.0
2025-06-02T13:42:35.301562,BELADY,0.14505267143249512,5000,0,5,5,5,2,1000.0
2025-06-02T13:42:35.780159,BELADY,0.14926671981811523,4000,0,5,5,5,2,800.0
2025-06-02T13:42:36.249017,BELADY,0.14893436431884766,4000,0,5,5,5,2,800.0
2025-06-02T13:42:36.716920,BELADY,0.1460573673248291,4000,0,5,5,5,2,800.0
2025-06-02T13:42:37.185736,BELADY,0.14528656005859375,4000,0,5,5,5,2,800.0
2025-06-02T13:42:37.670327,BELADY,0.16174054145812988,5000,0,5,5,5,2,1000.0
